"sp";"photo";"id";"codenom";"status";"taxref";"flore";"index";"family";"rank";"source";"obs";"large";"credit";"other";"...16";"...17";"attribution";"powo";"gbif";"inatid";"inat";"idphoto";"idobs";"mnhn";"tropicos";"fna";"inpn";"stat"
"Abildgaardia ovata";"https://inaturalist-open-data.s3.amazonaws.com/photos/60740780/original.jpeg";;;;628987;;;"Cyperaceae";1;"inat";"https://www.inaturalist.org/observations/38236974";;;;;;"(c) Daniel Cahen, some rights reserved (CC BY)";"http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1025064-2";"https://www.gbif.org/fr/species/2708407";157815;"https://www.inaturalist.org/observations?subview=grid&place_id=8834&taxon_id=157815";"60740780";"38236974";"https://science.mnhn.fr/institution/mnhn/collection/p/item/list?scientificName=abildgaardia+ovata";"https://tropicos.org/name/Search?name=abildgaardia%20ovata";"http://floranorthamerica.org/Abildgaardia_ovata";"https://openobs.mnhn.fr/redirect/inpn/taxa/628987?departmentInseeId=974&view=map";
"Abildgaardia ovata";"https://inaturalist-open-data.s3.amazonaws.com/photos/239105114/original.jpeg";"Espèce aux épillets caractéristiques";;"Exotique";628987;;;"Cyperaceae";2;"inat";"https://www.inaturalist.org/observations/139759855";;;;;;"no rights reserved";"http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1025064-2";"https://www.gbif.org/fr/species/2708407";157815;"https://www.inaturalist.org/observations?subview=grid&place_id=8834&taxon_id=157815";"239105114";"139759855";"https://science.mnhn.fr/institution/mnhn/collection/p/item/list?scientificName=abildgaardia+ovata";"https://tropicos.org/name/Search?name=abildgaardia%20ovata";"http://floranorthamerica.org/Abildgaardia_ovata";"https://openobs.mnhn.fr/redirect/inpn/taxa/628987?departmentInseeId=974&view=map";"Ex"
"Abildgaardia ovata";"https://inaturalist-open-data.s3.amazonaws.com/photos/61375725/original.jpeg";;;;628987;;;"Cyperaceae";3;"inat";"https://www.inaturalist.org/observations/38618674";;;;;;"(c) Daniel Cahen, some rights reserved (CC BY)";"http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1025064-2";"https://www.gbif.org/fr/species/2708407";157815;"https://www.inaturalist.org/observations?subview=grid&place_id=8834&taxon_id=157815";"61375725";"38618674";"https://science.mnhn.fr/institution/mnhn/collection/p/item/list?scientificName=abildgaardia+ovata";"https://tropicos.org/name/Search?name=abildgaardia%20ovata";"http://floranorthamerica.org/Abildgaardia_ovata";"https://openobs.mnhn.fr/redirect/inpn/taxa/628987?departmentInseeId=974&view=map";
"Abildgaardia ovata";"https://inaturalist-open-data.s3.amazonaws.com/photos/239105103/original.jpeg";;;;628987;;;"Cyperaceae";4;"inat";"https://www.inaturalist.org/observations/139759855";;;;;;"no rights reserved";"http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1025064-2";"https://www.gbif.org/fr/species/2708407";157815;"https://www.inaturalist.org/observations?subview=grid&place_id=8834&taxon_id=157815";"239105103";"139759855";"https://science.mnhn.fr/institution/mnhn/collection/p/item/list?scientificName=abildgaardia+ovata";"https://tropicos.org/name/Search?name=abildgaardia%20ovata";"http://floranorthamerica.org/Abildgaardia_ovata";"https://openobs.mnhn.fr/redirect/inpn/taxa/628987?departmentInseeId=974&view=map";
"Abildgaardia ovata";"https://inaturalist-open-data.s3.amazonaws.com/photos/239706400/original.jpeg";;;;628987;;;"Cyperaceae";5;"inat";"https://www.inaturalist.org/observations/140071507";;;;;;"(c) Mahomed Desai, some rights reserved (CC BY)";"http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1025064-2";"https://www.gbif.org/fr/species/2708407";157815;"https://www.inaturalist.org/observations?subview=grid&place_id=8834&taxon_id=157815";"239706400";"140071507";"https://science.mnhn.fr/institution/mnhn/collection/p/item/list?scientificName=abildgaardia+ovata";"https://tropicos.org/name/Search?name=abildgaardia%20ovata";"http://floranorthamerica.org/Abildgaardia_ovata";"https://openobs.mnhn.fr/redirect/inpn/taxa/628987?departmentInseeId=974&view=map";
"Abildgaardia ovata";"https://inaturalist-open-data.s3.amazonaws.com/photos/88633797/original.jpeg";;;;628987;;;"Cyperaceae";6;"inat";"https://www.inaturalist.org/observations/55652845";;;;;;"(c) Jay Horn, some rights reserved (CC BY)";"http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1025064-2";"https://www.gbif.org/fr/species/2708407";157815;"https://www.inaturalist.org/observations?subview=grid&place_id=8834&taxon_id=157815";"88633797";"55652845";"https://science.mnhn.fr/institution/mnhn/collection/p/item/list?scientificName=abildgaardia+ovata";"https://tropicos.org/name/Search?name=abildgaardia%20ovata";"http://floranorthamerica.org/Abildgaardia_ovata";"https://openobs.mnhn.fr/redirect/inpn/taxa/628987?departmentInseeId=974&view=map";
"Abildgaardia ovata";"https://inaturalist-open-data.s3.amazonaws.com/photos/61375751/original.jpeg";;;;628987;;;"Cyperaceae";7;"inat";"https://www.inaturalist.org/observations/38618674";;;;;;"(c) Daniel Cahen, some rights reserved (CC BY)";"http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1025064-2";"https://www.gbif.org/fr/species/2708407";157815;"https://www.inaturalist.org/observations?subview=grid&place_id=8834&taxon_id=157815";"61375751";"38618674";"https://science.mnhn.fr/institution/mnhn/collection/p/item/list?scientificName=abildgaardia+ovata";"https://tropicos.org/name/Search?name=abildgaardia%20ovata";"http://floranorthamerica.org/Abildgaardia_ovata";"https://openobs.mnhn.fr/redirect/inpn/taxa/628987?departmentInseeId=974&view=map";
"Acroceras elegans";"http://imager.mnhn.fr/imager3/w400/media/1445439854637hXrXBDndX6lRxXmY";"Acroceras elegans se distingue de Panicum robynsii et des Urochloa par le pincement apical et les spinules sur les épillets et les racèmes souvent disposés de façon unilatérale sur l'axe de l'inflorescence. Semble fréquenter les milieux semi-ouverts plutôt secs et parfois urbains.";;"Endémique";966955;;;"Poaceae";1;"mnhn";"http://coldb.mnhn.fr/catalognumber/mnhn/p/p00852393";"http://mediaphoto.mnhn.fr/media/1445439854637hXrXBDndX6lRxXmY";"MNHN - Paris, Museum National d'Histoire Naturelle, GLB - 2012 CC-BY";;;;"MNHN - Paris, Museum National d'Histoire Naturelle, GLB - 2012 CC-BY";"http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:384513-1";"https://www.gbif.org/fr/species/4139874";1365559;"https://www.inaturalist.org/observations?subview=grid&place_id=8834&taxon_id=1365559";;;"https://science.mnhn.fr/institution/mnhn/collection/p/item/list?scientificName=acroceras+elegans";"https://tropicos.org/name/Search?name=acroceras%20elegans";;"https://openobs.mnhn.fr/redirect/inpn/taxa/966955?departmentInseeId=974&view=map";"En"
"Acroceras elegans";"https://inaturalist-open-data.s3.amazonaws.com/photos/179519596/original.jpeg";;;"Endémique";966955;;;"Poaceae";2;"inat";"https://www.inaturalist.org/observations/106813839";;;;;;"(c) François Rousseu, some rights reserved (CC BY-NC)";"http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:384513-1";"https://www.gbif.org/fr/species/4139874";1365559;"https://www.inaturalist.org/observations?subview=grid&place_id=8834&taxon_id=1365559";"179519596";"106813839";"https://science.mnhn.fr/institution/mnhn/collection/p/item/list?scientificName=acroceras+elegans";"https://tropicos.org/name/Search?name=acroceras%20elegans";;"https://openobs.mnhn.fr/redirect/inpn/taxa/966955?departmentInseeId=974&view=map";"En"
"Acroceras elegans";"https://inaturalist-open-data.s3.amazonaws.com/photos/179519653/original.jpeg";;;"Endémique";966955;;;"Poaceae";3;"inat";"https://www.inaturalist.org/observations/106813839";;;;;;"(c) François Rousseu, some rights reserved (CC BY-NC)";"http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:384513-1";"https://www.gbif.org/fr/species/4139874";1365559;"https://www.inaturalist.org/observations?subview=grid&place_id=8834&taxon_id=1365559";"179519653";"106813839";"https://science.mnhn.fr/institution/mnhn/collection/p/item/list?scientificName=acroceras+elegans";"https://tropicos.org/name/Search?name=acroceras%20elegans";;"https://openobs.mnhn.fr/redirect/inpn/taxa/966955?departmentInseeId=974&view=map";"En"
"Acroceras elegans";"https://inaturalist-open-data.s3.amazonaws.com/photos/182113415/original.jpeg";;;"Endémique";966955;;;"Poaceae";4;"inat";"https://www.inaturalist.org/observations/108192206";;;;;;"(c) François Rousseu, some rights reserved (CC BY-NC)";"http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:384513-1";"https://www.gbif.org/fr/species/4139874";1365559;"https://www.inaturalist.org/observations?subview=grid&place_id=8834&taxon_id=1365559";"182113415";"108192206";"https://science.mnhn.fr/institution/mnhn/collection/p/item/list?scientificName=acroceras+elegans";"https://tropicos.org/name/Search?name=acroceras%20elegans";;"https://openobs.mnhn.fr/redirect/inpn/taxa/966955?departmentInseeId=974&view=map";"En"
"Acroceras elegans";"https://inaturalist-open-data.s3.amazonaws.com/photos/179519926/original.jpeg";;;"Endémique";966955;;;"Poaceae";5;"inat";"https://www.inaturalist.org/observations/106813839";;;;;;"(c) François Rousseu, some rights reserved (CC BY-NC)";"http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:384513-1";"https://www.gbif.org/fr/species/4139874";1365559;"https://www.inaturalist.org/observations?subview=grid&place_id=8834&taxon_id=1365559";"179519926";"106813839";"https://science.mnhn.fr/institution/mnhn/collection/p/item/list?scientificName=acroceras+elegans";"https://tropicos.org/name/Search?name=acroceras%20elegans";;"https://openobs.mnhn.fr/redirect/inpn/taxa/966955?departmentInseeId=974&view=map";"En"
"Acroceras elegans";"https://inaturalist-open-data.s3.amazonaws.com/photos/179520038/original.jpeg";;;"Endémique";966955;;;"Poaceae";6;"inat";"https://www.inaturalist.org/observations/106813839";;;;;;"(c) François Rousseu, some rights reserved (CC BY-NC)";"http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:384513-1";"https://www.gbif.org/fr/species/4139874";1365559;"https://www.inaturalist.org/observations?subview=grid&place_id=8834&taxon_id=1365559";"179520038";"106813839";"https://science.mnhn.fr/institution/mnhn/collection/p/item/list?scientificName=acroceras+elegans";"https://tropicos.org/name/Search?name=acroceras%20elegans";;"https://openobs.mnhn.fr/redirect/inpn/taxa/966955?departmentInseeId=974&view=map";"En"
"Acroceras elegans";"https://inaturalist-open-data.s3.amazonaws.com/photos/182113448/original.jpeg";;;"Endémique";966955;;;"Poaceae";7;"inat";"https://www.inaturalist.org/observations/108192206";;;;;;"(c) François Rousseu, some rights reserved (CC BY-NC)";"http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:384513-1";"https://www.gbif.org/fr/species/4139874";1365559;"https://www.inaturalist.org/observations?subview=grid&place_id=8834&taxon_id=1365559";"182113448";"108192206";"https://science.mnhn.fr/institution/mnhn/collection/p/item/list?scientificName=acroceras+elegans";"https://tropicos.org/name/Search?name=acroceras%20elegans";;"https://openobs.mnhn.fr/redirect/inpn/taxa/966955?departmentInseeId=974&view=map";"En"
"Acroceras hubbardii";"https://inaturalist-open-data.s3.amazonaws.com/photos/103402711/original.jpg?1604708899";;;"Cryptogène";966956;"Panicum hubbardii";;"Poaceae";1;"inat";"https://www.inaturalist.org/observations/64328441";;;"Panicum hubbardii";;;"no rights reserved";"http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:384515-1";"https://www.gbif.org/fr/species/4139826";1148837;"https://www.inaturalist.org/observations?subview=grid&place_id=8834&taxon_id=1148837";"103402711";"64328441";"https://science.mnhn.fr/institution/mnhn/collection/p/item/list?scientificName=acroceras+hubbardii";"https://tropicos.org/name/Search?name=acroceras%20hubbardii";;"https://openobs.mnhn.fr/redirect/inpn/taxa/966956?departmentInseeId=974&view=map";"Cr"
"Acroceras hubbardii";"https://inaturalist-open-data.s3.amazonaws.com/photos/256678882/original.jpeg";;;"Cryptogène";966956;"Panicum hubbardii";;"Poaceae";2;"inat";"https://www.inaturalist.org/observations/148996268";;;"Panicum hubbardii";;;"(c) Augustin Soulard, some rights reserved (CC BY)";"http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:384515-1";"https://www.gbif.org/fr/species/4139826";1148837;"https://www.inaturalist.org/observations?subview=grid&place_id=8834&taxon_id=1148837";"256678882";"148996268";"https://science.mnhn.fr/institution/mnhn/collection/p/item/list?scientificName=acroceras+hubbardii";"https://tropicos.org/name/Search?name=acroceras%20hubbardii";;"https://openobs.mnhn.fr/redirect/inpn/taxa/966956?departmentInseeId=974&view=map";"Cr"
"Acroceras hubbardii";"https://inaturalist-open-data.s3.amazonaws.com/photos/256596468/original.jpeg";;;"Cryptogène";966956;"Panicum hubbardii";;"Poaceae";3;"inat";"https://www.inaturalist.org/observations/148951869";;;"Panicum hubbardii";;;"(c) Augustin Soulard, some rights reserved (CC BY)";"http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:384515-1";"https://www.gbif.org/fr/species/4139826";1148837;"https://www.inaturalist.org/observations?subview=grid&place_id=8834&taxon_id=1148837";"256596468";"148951869";"https://science.mnhn.fr/institution/mnhn/collection/p/item/list?scientificName=acroceras+hubbardii";"https://tropicos.org/name/Search?name=acroceras%20hubbardii";;"https://openobs.mnhn.fr/redirect/inpn/taxa/966956?departmentInseeId=974&view=map";"Cr"
"Acroceras hubbardii";"https://inaturalist-open-data.s3.amazonaws.com/photos/103348089/original.jpg?1604677658";"Espèce de petite taille avec épis compacts.";;"Cryptogène";966956;"Panicum hubbardii";;"Poaceae";4;"inat";"https://www.inaturalist.org/observations/64296738";;;"Panicum hubbardii";;;"no rights reserved";"http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:384515-1";"https://www.gbif.org/fr/species/4139826";1148837;"https://www.inaturalist.org/observations?subview=grid&place_id=8834&taxon_id=1148837";"103348089";"64296738";"https://science.mnhn.fr/institution/mnhn/collection/p/item/list?scientificName=acroceras+hubbardii";"https://tropicos.org/name/Search?name=acroceras%20hubbardii";;"https://openobs.mnhn.fr/redirect/inpn/taxa/966956?departmentInseeId=974&view=map";"Cr"
"Acroceras hubbardii";"https://inaturalist-open-data.s3.amazonaws.com/photos/104635096/original.jpg?1605555268";;;"Cryptogène";966956;"Panicum hubbardii";;"Poaceae";5;"inat";"https://www.inaturalist.org/observations/65029262";;;"Panicum hubbardii";;;"no rights reserved";"http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:384515-1";"https://www.gbif.org/fr/species/4139826";1148837;"https://www.inaturalist.org/observations?subview=grid&place_id=8834&taxon_id=1148837";"104635096";"65029262";"https://science.mnhn.fr/institution/mnhn/collection/p/item/list?scientificName=acroceras+hubbardii";"https://tropicos.org/name/Search?name=acroceras%20hubbardii";;"https://openobs.mnhn.fr/redirect/inpn/taxa/966956?departmentInseeId=974&view=map";"Cr"
"Acroceras hubbardii";"https://inaturalist-open-data.s3.amazonaws.com/photos/104634524/original.jpg?1605554976";;;"Cryptogène";966956;"Panicum hubbardii";;"Poaceae";6;"inat";"https://www.inaturalist.org/observations/65029262";;;"Panicum hubbardii";;;"no rights reserved";"http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:384515-1";"https://www.gbif.org/fr/species/4139826";1148837;"https://www.inaturalist.org/observations?subview=grid&place_id=8834&taxon_id=1148837";"104634524";"65029262";"https://science.mnhn.fr/institution/mnhn/collection/p/item/list?scientificName=acroceras+hubbardii";"https://tropicos.org/name/Search?name=acroceras%20hubbardii";;"https://openobs.mnhn.fr/redirect/inpn/taxa/966956?departmentInseeId=974&view=map";"Cr"
"Acroceras hubbardii";"https://inaturalist-open-data.s3.amazonaws.com/photos/256596461/original.jpeg";;;"Cryptogène";966956;"Panicum hubbardii";;"Poaceae";7;"inat";"https://www.inaturalist.org/observations/148951869";;;"Panicum hubbardii";;;"(c) Augustin Soulard, some rights reserved (CC BY)";"http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:384515-1";"https://www.gbif.org/fr/species/4139826";1148837;"https://www.inaturalist.org/observations?subview=grid&place_id=8834&taxon_id=1148837";"256596461";"148951869";"https://science.mnhn.fr/institution/mnhn/collection/p/item/list?scientificName=acroceras+hubbardii";"https://tropicos.org/name/Search?name=acroceras%20hubbardii";;"https://openobs.mnhn.fr/redirect/inpn/taxa/966956?departmentInseeId=974&view=map";"Cr"
"Adenochloa hymeniochila";"https://inaturalist-open-data.s3.amazonaws.com/photos/202753963/original.jpeg";"Espèce non mentionnée dans la Flore des Mascareignes et dans l'index du CBN-CPIE Mascarin pour l'instant. Identification à confirmer. L'espèce serait originaire du sud de l'Afrique et de Madagsacar. Espèce pouvant être rampante se distinguant des espèces similaires connues à la Réunion par la présence de poils glanduleux. L'espèce serait associée aux endroits humides.";;"Exotique";;;;"Poaceae";1;"inat";"https://www.inaturalist.org/observations/119910809";;;;;;"(c) François Rousseu, some rights reserved (CC BY-NC)";"http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77149211-1";"https://www.gbif.org/fr/species/9624333";1235336;"https://www.inaturalist.org/observations?subview=grid&place_id=8834&taxon_id=1235336";"202753963";"119910809";"https://science.mnhn.fr/institution/mnhn/collection/p/item/list?scientificName=adenochloa+hymeniochila";"https://tropicos.org/name/Search?name=adenochloa%20hymeniochila";;;"Ex"
"Adenochloa hymeniochila";"https://inaturalist-open-data.s3.amazonaws.com/photos/202753901/original.jpeg";;;"Exotique";;;;"Poaceae";2;"inat";"https://www.inaturalist.org/observations/119910809";;;;;;"(c) François Rousseu, some rights reserved (CC BY-NC)";"http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77149211-1";"https://www.gbif.org/fr/species/9624333";1235336;"https://www.inaturalist.org/observations?subview=grid&place_id=8834&taxon_id=1235336";"202753901";"119910809";"https://science.mnhn.fr/institution/mnhn/collection/p/item/list?scientificName=adenochloa+hymeniochila";"https://tropicos.org/name/Search?name=adenochloa%20hymeniochila";;;"Ex"
"Adenochloa hymeniochila";"https://inaturalist-open-data.s3.amazonaws.com/photos/202891418/original.jpeg";;;"Exotique";;;;"Poaceae";3;"inat";"https://www.inaturalist.org/observations/119986387";;;;;;"(c) François Rousseu, some rights reserved (CC BY-NC)";"http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77149211-1";"https://www.gbif.org/fr/species/9624333";1235336;"https://www.inaturalist.org/observations?subview=grid&place_id=8834&taxon_id=1235336";"202891418";"119986387";"https://science.mnhn.fr/institution/mnhn/collection/p/item/list?scientificName=adenochloa+hymeniochila";"https://tropicos.org/name/Search?name=adenochloa%20hymeniochila";;;"Ex"
"Adenochloa hymeniochila";"https://inaturalist-open-data.s3.amazonaws.com/photos/202754088/original.jpeg";;;"Exotique";;;;"Poaceae";4;"inat";"https://www.inaturalist.org/observations/119910809";;;;;;"(c) François Rousseu, some rights reserved (CC BY-NC)";"http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77149211-1";"https://www.gbif.org/fr/species/9624333";1235336;"https://www.inaturalist.org/observations?subview=grid&place_id=8834&taxon_id=1235336";"202754088";"119910809";"https://science.mnhn.fr/institution/mnhn/collection/p/item/list?scientificName=adenochloa+hymeniochila";"https://tropicos.org/name/Search?name=adenochloa%20hymeniochila";;;"Ex"
"Adenochloa hymeniochila";"https://inaturalist-open-data.s3.amazonaws.com/photos/202754517/original.jpeg";;;"Exotique";;;;"Poaceae";5;"inat";"https://www.inaturalist.org/observations/119910809";;;;;;"(c) François Rousseu, some rights reserved (CC BY-NC)";"http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77149211-1";"https://www.gbif.org/fr/species/9624333";1235336;"https://www.inaturalist.org/observations?subview=grid&place_id=8834&taxon_id=1235336";"202754517";"119910809";"https://science.mnhn.fr/institution/mnhn/collection/p/item/list?scientificName=adenochloa+hymeniochila";"https://tropicos.org/name/Search?name=adenochloa%20hymeniochila";;;"Ex"
"Adenochloa hymeniochila";"https://inaturalist-open-data.s3.amazonaws.com/photos/202754665/original.jpeg";;;"Exotique";;;;"Poaceae";6;"inat";"https://www.inaturalist.org/observations/119910809";;;;;;"(c) François Rousseu, some rights reserved (CC BY-NC)";"http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77149211-1";"https://www.gbif.org/fr/species/9624333";1235336;"https://www.inaturalist.org/observations?subview=grid&place_id=8834&taxon_id=1235336";"202754665";"119910809";"https://science.mnhn.fr/institution/mnhn/collection/p/item/list?scientificName=adenochloa+hymeniochila";"https://tropicos.org/name/Search?name=adenochloa%20hymeniochila";;;"Ex"
"Adenochloa hymeniochila";"https://inaturalist-open-data.s3.amazonaws.com/photos/202891440/original.jpeg";;;"Exotique";;;;"Poaceae";7;"inat";"https://www.inaturalist.org/observations/119986387";;;;;;"(c) François Rousseu, some rights reserved (CC BY-NC)";"http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77149211-1";"https://www.gbif.org/fr/species/9624333";1235336;"https://www.inaturalist.org/observations?subview=grid&place_id=8834&taxon_id=1235336";"202891440";"119986387";"https://science.mnhn.fr/institution/mnhn/collection/p/item/list?scientificName=adenochloa+hymeniochila";"https://tropicos.org/name/Search?name=adenochloa%20hymeniochila";;;"Ex"
"Agrostis capillaris";"https://inaturalist-open-data.s3.amazonaws.com/photos/257469472/original.jpg";"Un Agrostis avec la panicule très diffuse, étalée, des pédicelles capillaires et tremblants et des épillets surtout concentrés vers l'extrémité des branches.";;"Exotique";80591;;;"Poaceae";1;"inat";"https://www.inaturalist.org/observations/149419308";;;;;;"(c) François Rousseu, some rights reserved (CC BY-NC)";"http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30197865-2";"https://www.gbif.org/fr/species/2706490";75312;"https://www.inaturalist.org/observations?subview=grid&place_id=8834&taxon_id=75312";"257469472";"149419308";"https://science.mnhn.fr/institution/mnhn/collection/p/item/list?scientificName=agrostis+capillaris";"https://tropicos.org/name/Search?name=agrostis%20capillaris";"http://floranorthamerica.org/Agrostis_capillaris";"https://openobs.mnhn.fr/redirect/inpn/taxa/80591?departmentInseeId=974&view=map";"Ex"
"Agrostis capillaris";"https://inaturalist-open-data.s3.amazonaws.com/photos/257469394/original.jpg";;;"Exotique";80591;;;"Poaceae";2;"inat";"https://www.inaturalist.org/observations/149419308";;;;;;"(c) François Rousseu, some rights reserved (CC BY-NC)";"http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30197865-2";"https://www.gbif.org/fr/species/2706490";75312;"https://www.inaturalist.org/observations?subview=grid&place_id=8834&taxon_id=75312";"257469394";"149419308";"https://science.mnhn.fr/institution/mnhn/collection/p/item/list?scientificName=agrostis+capillaris";"https://tropicos.org/name/Search?name=agrostis%20capillaris";"http://floranorthamerica.org/Agrostis_capillaris";"https://openobs.mnhn.fr/redirect/inpn/taxa/80591?departmentInseeId=974&view=map";"Ex"
"Agrostis capillaris";"https://inaturalist-open-data.s3.amazonaws.com/photos/257469402/original.jpg";;;"Exotique";80591;;;"Poaceae";3;"inat";"https://www.inaturalist.org/observations/149419308";;;;;;"(c) François Rousseu, some rights reserved (CC BY-NC)";"http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30197865-2";"https://www.gbif.org/fr/species/2706490";75312;"https://www.inaturalist.org/observations?subview=grid&place_id=8834&taxon_id=75312";"257469402";"149419308";"https://science.mnhn.fr/institution/mnhn/collection/p/item/list?scientificName=agrostis+capillaris";"https://tropicos.org/name/Search?name=agrostis%20capillaris";"http://floranorthamerica.org/Agrostis_capillaris";"https://openobs.mnhn.fr/redirect/inpn/taxa/80591?departmentInseeId=974&view=map";"Ex"
"Agrostis capillaris";"https://inaturalist-open-data.s3.amazonaws.com/photos/257469410/original.jpg";;;"Exotique";80591;;;"Poaceae";4;"inat";"https://www.inaturalist.org/observations/149419308";;;;;;"(c) François Rousseu, some rights reserved (CC BY-NC)";"http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30197865-2";"https://www.gbif.org/fr/species/2706490";75312;"https://www.inaturalist.org/observations?subview=grid&place_id=8834&taxon_id=75312";"257469410";"149419308";"https://science.mnhn.fr/institution/mnhn/collection/p/item/list?scientificName=agrostis+capillaris";"https://tropicos.org/name/Search?name=agrostis%20capillaris";"http://floranorthamerica.org/Agrostis_capillaris";"https://openobs.mnhn.fr/redirect/inpn/taxa/80591?departmentInseeId=974&view=map";"Ex"
"Agrostis capillaris";"https://inaturalist-open-data.s3.amazonaws.com/photos/257469509/original.jpg";;;"Exotique";80591;;;"Poaceae";5;"inat";"https://www.inaturalist.org/observations/149419308";;;;;;"(c) François Rousseu, some rights reserved (CC BY-NC)";"http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30197865-2";"https://www.gbif.org/fr/species/2706490";75312;"https://www.inaturalist.org/observations?subview=grid&place_id=8834&taxon_id=75312";"257469509";"149419308";"https://science.mnhn.fr/institution/mnhn/collection/p/item/list?scientificName=agrostis+capillaris";"https://tropicos.org/name/Search?name=agrostis%20capillaris";"http://floranorthamerica.org/Agrostis_capillaris";"https://openobs.mnhn.fr/redirect/inpn/taxa/80591?departmentInseeId=974&view=map";"Ex"
"Agrostis capillaris";"https://inaturalist-open-data.s3.amazonaws.com/photos/257469522/original.jpg";;;"Exotique";80591;;;"Poaceae";6;"inat";"https://www.inaturalist.org/observations/149419308";;;;;;"(c) François Rousseu, some rights reserved (CC BY-NC)";"http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30197865-2";"https://www.gbif.org/fr/species/2706490";75312;"https://www.inaturalist.org/observations?subview=grid&place_id=8834&taxon_id=75312";"257469522";"149419308";"https://science.mnhn.fr/institution/mnhn/collection/p/item/list?scientificName=agrostis+capillaris";"https://tropicos.org/name/Search?name=agrostis%20capillaris";"http://floranorthamerica.org/Agrostis_capillaris";"https://openobs.mnhn.fr/redirect/inpn/taxa/80591?departmentInseeId=974&view=map";"Ex"
"Agrostis capillaris";"https://inaturalist-open-data.s3.amazonaws.com/photos/257469492/original.jpg";;;"Exotique";80591;;;"Poaceae";7;"inat";"https://www.inaturalist.org/observations/149419308";;;;;;"(c) François Rousseu, some rights reserved (CC BY-NC)";"http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30197865-2";"https://www.gbif.org/fr/species/2706490";75312;"https://www.inaturalist.org/observations?subview=grid&place_id=8834&taxon_id=75312";"257469492";"149419308";"https://science.mnhn.fr/institution/mnhn/collection/p/item/list?scientificName=agrostis+capillaris";"https://tropicos.org/name/Search?name=agrostis%20capillaris";"http://floranorthamerica.org/Agrostis_capillaris";"https://openobs.mnhn.fr/redirect/inpn/taxa/80591?departmentInseeId=974&view=map";"Ex"
"Agrostis salaziensis";"https://inaturalist-open-data.s3.amazonaws.com/photos/257465745/original.jpg";"Commun dans l'altimontain. Les épillets uniflores portent une courte arête dépassant les épillets. Panicule souvent très contractée, dressée et feuilles surtout basilaires et vertes glauques. Se distingue de Festuca borbonica par la présence d'une seule arête sur les épillets et par l'épillet uniflore. Certains individus auraient des panicules plus étalées.";;"Endémique";705796;;;"Poaceae";1;"inat";"https://www.inaturalist.org/observations/149417337";;;;;;"(c) François Rousseu, some rights reserved (CC BY-NC)";"http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:386262-1";"https://www.gbif.org/fr/species/4117222";1398997;"https://www.inaturalist.org/observations?subview=grid&place_id=8834&taxon_id=1398997";"257465745";"149417337";"https://science.mnhn.fr/institution/mnhn/collection/p/item/list?scientificName=agrostis+salaziensis";"https://tropicos.org/name/Search?name=agrostis%20salaziensis";;"https://openobs.mnhn.fr/redirect/inpn/taxa/705796?departmentInseeId=974&view=map";"En"
